"filename", "language", "Properties", "Groovy", "YAML", "Dart", "XML", "C++", "JSON", "Swift", "Markdown", "comment", "blank", "total"
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\android\app\build.gradle", "Groovy", 0, 49, 0, 0, 0, 0, 0, 0, 0, 3, 12, 64
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 16, 1, 48
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\android\build.gradle", "Groovy", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\android\gradle.properties", "Properties", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\android\settings.gradle", "Groovy", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\lib\Pages\home.dart", "Dart", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 6, 83
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\lib\main.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\lib\models\food_item.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\lib\models\variables_models.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\lib\widgets\Item_detail_widget.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 4, 69
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\lib\widgets\food_item_widget.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"e:\Progamming_Related\Projects\Flutter_Projects\food_app\food_app\pubspec.yaml", "YAML", 0, 0, 21, 0, 0, 0, 0, 0, 0, 33, 15, 69
"Total", "-", 9, 84, 21, 198, 113, 1, 145, 12, 3, 77, 75, 738